Agent,Group
4-Nitropyrene,2B
Caffeine,3
Pyrimethamine,3
Theophylline,3
Lindane (see also Hexachlorocyclohexanes),1
Hydrochlorothiazide,1
2-Nitronaphthalene,3
Methotrexate,3
Nitrofural (Nitrofurazone),3
N-Nitrosomorpholine,2B
Methylazoxymethanol acetate,2B
Aciclovir,3
Vinyl bromide,2A
Chlorofluoromethane,3
Polybrominated biphenyls,2A
Methyl carbamate,3
HC Yellow No. 4,3
Ciclosporin,1
d-Limonene,3
Sulfasalazine,2B
para-Aminoazobenzene,2B
para-Dimethylaminoazobenzene,2B
Acetamide,2B
Methimazole,3
"Dieldrin (see Dieldrin, and aldrin metabolized to dieldrin)",
"Dieldrin, and aldrin metabolized to dieldrin",2A
Petasitenine,3
3-(N-Nitrosomethylamino)propionitrile,2B
9-Nitroanthracene,3
5-Nitroacenaphthene,2B
Leucogentian violet (see also Gentian violet),3
Oxazepam,2B
"2,6-Dinitrotoluene",2B
2-Nitrofluorene,2B
"2,6-Dichloro-para-phenylenediamine",3
Niridazole,2B
Amitrole,3
"2,4-Dichloro-1-nitrobenzene",2B
"N,N'-Diacetylbenzidine",2B
"2,4-Diaminoanisole",2B
ortho-Phenylenediamine dihydrochloride,2B
N-Methyl-N-nitrosourethane,2B
Chlordimeform,3
"3,5-Dinitrotoluene",3
Phenacetin,1
Ethyl methanesulfonate,2B
Aniline (see also Aniline hydrochloride),2A
Thioacetamide,2B
Thiourea,3
Dichlorvos,2B
N-Nitrosodimethylamine,2A
N-Nitrosodi-n-propylamine,2B
"Trp-P-1 (3-Amino-1,4-dimethyl-5H-pyrido[4,3-b]indole)",2B
"Trp-P-2 (3-Amino-1-methyl-5H-pyrido[4,3-b]indole)",2B
n-Propyl carbamate,3
Carbaryl,3
Phenoxybenzamine hydrochloride,2B
"1,1,1,2-Tetrachloroethane",2B
6-Nitrobenzo[a]pyrene,3
Dibromoacetic acid,2B
Magenta,2B
Citrus Red No. 2,2B
Sudan Red 7B,3
Clofibrate,3
Ethyl tert-butyl ether,2B
CI Acid Orange 3,3
Ethanol in alcoholic beverages,1
Diethyl sulfate,2A
"1,2-Dihydroaceanthrylene",3
Sudan Brown RR,3
Arsenobetaine and other organic arsenic compounds that are not metabolized in humans,3
CI Acid Red 114,2B
"Bitumens, occupational exposure to oxidized bitumens and their emissions during roofing",2A
Mitoxantrone,2B
Coal-tar pitch,1
Methyl methanesulfonate,2A
Uracil mustard,2B
Erionite,1
Nitrofurantoin,3
Furazolidone,3
Isopropyl alcohol,3
Chloroform,2B
Hexachloroethane,2B
"Glu-P-2 (2-Aminodipyrido[1,2-a:3',2'-d]imidazole)",2B
"Glu-P-1 (2-Amino-6-methyldipyrido[1,2-a:3',2'-d]imidazole)",2B
"N,N-Dimethylformamide",2A
Tris(aziridinyl)-para-benzoquinone (Triaziquone),3
Hexamethylphosphoramide,2B
"MeA-alpha-C (2-Amino-3-methyl-9H-pyrido[2,3-b]indole)",2B
Shale oils,1
N-Methyl-N-nitrosourea,2A
Coconut oil diethanolamine condensate,2B
Jacobine,3
Ampicillin,3
2-Methylimidazole,2B
Didanosine,3
N-Methyl-N´-nitro-N-nitrosoguanidine (MNNG),2A
Hexachlorophene,3
"5,6-Cyclopenteno-1,2-benzanthracene",3
Benzene,1
"1,1,1-Trichloroethane",2A
Medroxyprogesterone acetate,2B
"2-Amino-5-(5-nitro-2-furyl)-1,3,4-thiadiazole",2B
N'-Nitrosoanatabine (NAT),3
Endrin,3
Methoxychlor,3
Trypan blue,2B
Methylene blue,3
Sulfamethoxazole,3
5-Methylangelicin plus ultraviolet A radiation,3
Methyl bromide,3
Ethylene,3
Methyl chloride,3
Methyl iodide,3
Bromoethane,3
Lead,2B
Mercury and inorganic mercury compounds,3
"Nickel, metallic",2B
Plutonium,1
Thorium-232 and its decay products,1
Arsenic and inorganic arsenic compounds,1
Beryllium and beryllium compounds,1
Cadmium and cadmium compounds,1
"Chromium, metallic",3
Cobalt metal (without tungsten carbide or other metal alloys),2A
Cobalt metal with tungsten carbide,2A
"Uranium, mixture of isotopes (see Radionuclides, alpha-particle-emitting, internally deposited)",1
Sulfur dioxide,3
Glycidyl stearate,3
Zalcitabine,2B
6-Nitrochrysene,2A
Chloroethane,3
Vinyl chloride,1
Vinyl fluoride,2A
Acetaldehyde,2B
Acetaldehyde associated with consumption of alcoholic beverages,1
Dichloromethane (Methylene chloride),2A
Ethylene oxide,1
Bromoform,3
2-Bromopropane,2A
Bromodichloromethane,2B
Vinylidene chloride,2B
Vinylidene fluoride,3
Chlorodifluoromethane,3
Nitromethane,2B
2-Methylaziridine (Propyleneimine),2B
Propylene oxide,2B
Dimethylarsinic acid,2B
tert-Butyl alcohol,3
Chloral,2A
"2-Chloro-1,1,1-trifluoroethane",3
N-Nitrosoproline,3
"1,3-Dinitropyrene",2B
Dichloroacetylene,3
N-Ethyl-N-nitrosourea,2A
Pentachloroethane,3
Trichloroacetic acid,2B
Heptachlor,2B
"IQ (2-Amino-3-methylimidazo[4,5-f]quinoline)",2A
"Silica, amorphous",3
Hydrochloric acid,3
Glycidaldehyde,2B
Strong-inorganic-acid mists containing sulfuric acid (see Acid mists),
Phenolphthalein,2B
Dimethyl sulfate,2A
"MeIQ (2-Amino-3,4-dimethylimidazo[4,5-f]quinoline)",2B
Hydrogen peroxide,3
3-Chloro-4-(dichloromethyl)-5-hydroxy-2(5H)-furanone,2B
"MeIQx (2-Amino-3,8-dimethylimidazo[4,5-f]quinoxaline)",2B
Potassium bromate,2B
Sodium chlorite,3
Selenium and selenium compounds,3
Isophorone,2B
Isoprene,2B
"1,2-Dichloropropane",1
Methylglyoxal,3
2-Nitropyrene,3
"1,1,2-Trichloroethane",3
Trichloroethylene,1
Acrylamide,2A
Acrylic acid,3
"1,1,2,2-Tetrachloroethane",2B
Dichloroacetic acid,2B
Dimethylcarbamoyl chloride,2A
2-Nitropropane,2B
Tetrabromobisphenol A,2A
Dihydroxymethylfuratrizine (see also Panfuran S),3
Panfuran S (containing dihydroxymethylfuratrizine),2B
Dapsone,3
Methyl methacrylate,3
Aziridyl benzoquinone,3
Toxaphene (Polychlorinated camphenes),2B
Terpene polychlorinates (Strobane®),3
Creosotes,2A
Crude oil,3
Coal tars (see Coal-tar distillation),
Coal-tar distillation,1
Acriflavinium chloride,3
Nitrovin,3
Saccharated iron oxide,3
"Bitumens, extracts of steam-refined and air-refined; steam-refined, cracking-residue and air-refined bitumens (see Bitumens, occupational exposures)",
"Bitumens, occupational exposure to straight-run bitumens and their emissions during road paving",2B
Saccharin and its salts,3
Musk xylene,3
"1-Amino-2,4-dibromoanthraquinone",2B
Rhodamine B,3
Trichlormethine (Trimustine hydrochloride),2B
1-Amino-2-methylanthraquinone,3
Quintozene (Pentachloronitrobenzene),3
4-Methylimidazole,2B
Droloxifene,3
Dimethoxane,3
Acenaphthene,3
Diacetylaminoazotoluene,3
Musk ambrette,3
Theobromine,3
1-Methylphenanthrene,3
Bromochloroacetonitrile,3
"4,4'-Methylene bis(2-methylaniline)",2B
Anthraquinone,2B
Sudan I,3
Temazepam,3
Phenanthrene,3
Butyl benzyl phthalate,3
Scarlet Red,3
Yellow AB,3
Sudan III,3
3-(N-Nitrosomethylamino)propionaldehyde,3
"Pyrido[3,4-c]psoralen",3
"7-Methylpyrido[3,4-c]psoralen",3
N-Nitrosodiphenylamine,3
Hydralazine,3
1-Nitronaphthalene,3
Fluorene,3
Carbazole,2B
1-Naphthylthiourea (ANTU),3
Dimethyl hydrogen phosphite,2B
Cinnamyl anthranilate,3
"2,6-Dimethylaniline (2,6-Xylidine)",2B
Hexachlorobutadiene,3
Pentachlorophenol (see also Polychlorophenols),1
Ptaquiloside,3
"2,4,6-Trimethylaniline",3
"2,4,6-Trichlorophenol (see also Polychlorophenols)",2B
N-Vinyl-2-pyrrolidone,3
2-Nitrotoluene,2A
2-Chloronitrobenzene,2B
"Chloronitrobenzenes (see 2-Chloronitrobenzene, 3-Chloronitrobenzene, 4-Chloronitrobenzene)",
"1,4-Dichloro-2-nitrobenzene",2B
Pulegone,2B
3-Nitrofluoranthene,3
Toremifene,3
ortho-Anisidine (see also ortho-Anisidine hydrochloride),2A
ortho-Phenylphenol,3
Penicillic acid,3
"Michler’s ketone [4,4´-Bis(dimethylamino)­benzophenone]",2B
"Carrageenan, native",3
Kava extract,2B
Polytetrafluoroethylene,3
Polyvinyl chloride,3
Polyethylene,3
Polyvinyl alcohol,3
Polyacrylic acid,3
Polypropylene,3
Polyvinyl acetate,3
Vinyl chloride-vinyl acetate copolymers,3
Polyvinyl pyrrolidone,3
Polystyrene,3
Styrene-acrylonitrile copolymers,3
Styrene-butadiene copolymers,3
Iron-dextrin complex,3
Iron-dextran complex,2B
Ginkgo biloba extract,2B
Polyurethane foams,3
Polychloroprene,3
Vinylidene chloride-vinyl chloride copolymers,3
Polymethyl methacrylate,3
Polymethylene polyphenyl isocyanate,3
"4,4',6-Trimethylangelicin plus ultraviolet A radiation",3
Naphthalene,2B
Quinoline,2B
ortho-Nitroanisole,2A
2-Naphthylamine,1
Coumarin,3
"3,3'-Dimethoxybenzidine-4,4'-diisocyanate",3
"3,3'-Dichlorobenzidine",2B
Amaranth,3
4-Aminobiphenyl,1
Benzidine,1
4-Nitrobiphenyl,3
N-Nitrosodi-n-butylamine,2B
N-Methylolacrylamide,2B
Methyleugenol,2A
N-Nitrosopyrrolidine,2B
Benzoyl peroxide,3
Dihydrosafrole,2B
Safrole,2B
"2,4-D (2,4-dichlorophenoxyacetic acid) (See also Chlorophenoxy herbicides)",2B
Sulfallate,2B
ortho-Dichlorobenzene,3
ortho-Toluidine,1
ortho-Phenylenediamine,2B
"2,4-Xylidine",3
4-Chloro-ortho-toluidine,2A
"2,5-Diaminotoluene",3
"2,5-Xylidine",3
5-Chloro-ortho-toluidine,3
"2,4-Diaminotoluene",2B
4-Chloro-ortho-phenylenediamine,2B
2-Amino-4-chlorophenol,2B
"Styrene-7,8-oxide",2A
"1,2-Dibromo-3-chloropropane",2B
"2,3-Dibromopropan-1-ol",2B
"1,2,3-Trichloropropane",2A
"1,3-Dichloro-2-propanol",2B
"3-Monochloro-1,2-propanediol",2B
Methyl acrylate,2B
Ethylenethiourea,3
gamma-Butyrolactone,3
Eugenol,3
Isoeugenol,2B
ortho-Aminoazotoluene,2B
Disulfiram,3
Butyl methacrylate,2B
Furfuryl alcohol,2B
Furfural,3
4-Chlorobenzotrifluoride,2B
Cumene,2B
α-Methylstyrene,2B
"alpha-Chlorinated toluenes (benzal chloride, benzotrichloride, benzyl chloride) and benzoyl chloride (combined exposures)",2A
Nitrobenzene,2B
Rhodamine 6G,3
Nitrotoluenes,3
5-Nitro-ortho-toluidine,3
"1,2-Diamino-4-nitrobenzene",3
2-Amino-4-nitrophenol,3
5-Nitro-ortho-anisidine,3
"N-Methyl-N,4-dinitrosoaniline",3
"N,N-Dimethyl-p-toluidine",2B
tert-Amyl methyl ether,3
