Agent,Synonyms
Acetamide,"['Acetic acid amide', 'Ethanamide', 'Ethanamide', 'Methylcarboxamide', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Methimazole,"['1-Methyl-2-mercaptoimidazole', 'Thiamazole', 'Tapazole', '2-Mercapto-1-methylimidazole', 'MMI', 'Mercazole', 'Thyrozol', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"Dieldrin (see Dieldrin, and aldrin metabolized to dieldrin)","['HEOD', 'ENT 16225', 'Compound 497', 'Octalox', 'Panoram D-31', 'Dieldrex', 'Dieldrite', 'Quintox', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"Dieldrin, and aldrin metabolized to dieldrin","['HEOD', 'ENT 16225', 'Compound 497', 'Octalox', 'Panoram D-31', 'Dieldrex', 'Dieldrite', 'Quintox', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Petasitenine,"['Furanoligularenone', 'Hydroxypetasitenine', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
3-(N-Nitrosomethylamino)propionitrile,"['NMMPN', '3-(Methylnitrosamino)propionitrile', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
9-Nitroanthracene,"['9-NA', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
5-Nitroacenaphthene,"['5-NA', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Leucogentian violet (see also Gentian violet),"['Crystal violet lactone', 'Leuco crystal violet', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Oxazepam,"['Serax', 'Serenid', 'Adumbran', 'Praxiten', 'Serepax', 'Sobril', 'Benzodiazepine', 'Atarax', 'Alopam', 'Oxazepamum', 'Murelax', 'Tazepam', 'Zapex', 'Alepam', 'Anxiolit']"
"2,6-Dinitrotoluene","['2', '6-DNT', 'Dinitrotoluene-2', '6', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
2-Nitrofluorene,"['2-NF', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"2,6-Dichloro-para-phenylenediamine","['2', '6-Dichloro-1', '4-benzenediamine', '2', '6-Dichloro-1', '4-diaminobenzene', '2', '6-Dichlorobenzene-1', '4-diamine', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Niridazole,"['Ambilhar', '1-(5-Nitro-2-thiazolyl)-2-imidazolidinone', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Amitrole,"['3-Amino-1', '2', '4-triazole', 'Weedazol', 'Cytrol', 'Aminotriazole', 'ATA', 'Weedone', 'Amitrol T', 'Herbizid', 'Diurol', 'Triazole', '1', '2', '4-Triazol-3-ylamine', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"2,4-Dichloro-1-nitrobenzene","['DCNB', 'Dichloronitrobenzene', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"N,N'-Diacetylbenzidine","['N', ""N'-Bis(acetyl)benzidine"", 'Benzidine diacetate', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"2,4-Diaminoanisole","['4-Methoxy-m-phenylenediamine', '2', '4-Diamino-1-methoxybenzene', '2', '4-DAA', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
ortho-Phenylenediamine dihydrochloride,"['1', '2-Diaminobenzene dihydrochloride', '1', '2-Phenylenediamine dihydrochloride', 'OPD dihydrochloride', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
N-Methyl-N-nitrosourethane,"['MNUR', 'Methylnitrosourethane', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Chlordimeform,"['Fundal', 'Galecron', 'Spanone', 'Chlorphenamidine', ""N'-(4-Chloro-o-tolyl)-N"", 'N-dimethylformamidine', 'ENT-27566', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"3,5-Dinitrotoluene","['3', '5-DNT', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Phenacetin,"['Acetophenetidin', '4-Ethoxyacetanilide', 'N-(4-Ethoxyphenyl)acetamide', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Ethyl methanesulfonate,"['EMS', 'Ethyl mesylate', 'Methane sulfonic acid ethyl ester', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Aniline (see also Aniline hydrochloride),"['Aminobenzene', 'Phenylamine', 'Benzenamine', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Thioacetamide,"['Ethanethioamide', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Thiourea,"['Thiocarbamide', 'Thiocarbonyldiamide', 'Isothiourea', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Dichlorvos,"['DDVP', 'Dichlorvos', 'O', 'O-Dimethyl-O-(2', '2-dichlorovinyl) phosphate', 'Dichlorophos', 'Nuvan', 'Dedevap', 'Mafu', 'Nogos', 'Divipan', 'Atgard V', 'Herkol', 'Vapona', 'Prentox', 'Fly-Die', 'Benfos']"
N-Nitrosodimethylamine,"['Dimethylnitrosamine', 'DMN', 'NDMA', 'N-Nitroso-N', 'N-dimethylamine', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
N-Nitrosodi-n-propylamine,"['NDPA', 'Di-n-propylnitrosamine', 'N-Nitroso-di-n-propylamine', 'Dipropylnitrosamine', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"Trp-P-1 (3-Amino-1,4-dimethyl-5H-pyrido[4,3-b]indole)","['3-Amino-1', '4-dimethyl-5H-pyrido(4', '3-b)indole', '3-Amino-1', '4-dimethyl-5H-pyrido[4', '3-b]indole', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"Trp-P-2 (3-Amino-1-methyl-5H-pyrido[4,3-b]indole)","['3-Amino-1-methyl-5H-pyrido(4', '3-b)indole', '3-Amino-1-methyl-5H-pyrido[4', '3-b]indole', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
n-Propyl carbamate,"['Isopropyl carbamate', 'Procarbazine', 'Propylurethane', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Carbaryl,"['Sevin', '1-Naphthyl methylcarbamate', 'Dicarbam', 'Hexavin', 'Septene', 'Tricarnam', 'UC 7744', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Phenoxybenzamine hydrochloride,"['Dibenzyline', 'N-(2-Chloroethyl)-N-(1-methyl-2-phenoxyethyl)benzylamine hydrochloride', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"1,1,1,2-Tetrachloroethane","['Tetrachloro-1', '1', '1', '2-ethane', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
6-Nitrobenzo[a]pyrene,"['6-NBaP', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Dibromoacetic acid,"['DBAA', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Magenta,"['Fuchsin', 'Basic Red 9', 'Rosaniline', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Citrus Red No. 2,"['2', '5-Dimethoxyphenylazo-2-naphthol', '2', '5-Dimethoxyphenylazo-β-naphthol', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Sudan Red 7B,"['C.I. Solvent Red 23', 'Fat Red 7B', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Clofibrate,"['Atromid-S', 'Ethyl chlorophenoxyisobutyrate', 'CPIB ethyl ester', 'Chlorophenoxyisobutyric acid ethyl ester', 'Ethyl 2-(p-chlorophenoxy)-2-methylpropionate', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Ethyl tert-butyl ether,"['ETBE', 'Ethyl tertiary-butyl ether', '2-ethoxy-2-methylpropane', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
CI Acid Orange 3,"['Orange G', 'Acid Orange', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Ethanol in alcoholic beverages,"['Alcohol', 'Ethyl alcohol', 'Grain alcohol', 'Spirits', 'EtOH', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Diethyl sulfate,"['Diethyl sulphate', 'Sulfuric acid diethyl ester', 'Ethyl sulfate', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"1,2-Dihydroaceanthrylene","['DHA', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Sudan Brown RR,"['C.I. Solvent Brown 1', 'Reso Brown RR', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Arsenobetaine and other organic arsenic compounds that are not metabolized in humans,"['<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
CI Acid Red 114,"['Lissamine Fast Scarlet 2G', 'Acid Red 114', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"Bitumens, occupational exposure to oxidized bitumens and their emissions during roofing","['Asphalt', 'Oxidized asphalt', 'Air-blown asphalt', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Mitoxantrone,"['Novantrone', 'DHAD', 'Dihydroxyanthracenedione', 'NSC 301739', 'CL 232315', 'MTO', 'Mitoxantron', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Coal-tar pitch,"['Pitch', 'Coal tar pitch volatiles', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Methyl methanesulfonate,"['MMS', 'Methyl mesylate', 'Methanesulfonic acid methyl ester', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Uracil mustard,"['5-[Bis(2-chloroethyl)amino]uracil', 'Deacyluracil mustard', 'NSC-34460', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Erionite,"['<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Nitrofurantoin,"['Furadantin', 'Macrodantin', 'N-(5-Nitro-2-furfurylidene)-1-aminohydantoin', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Furazolidone,"['Furoxone', 'N-(5-Nitro-2-furfurylidene)-3-amino-2-oxazolidinone', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Isopropyl alcohol,"['2-Propanol', 'Isopropanol', 'Propan-2-ol', 'Rubbing alcohol', 'IPA', 'sec-Propyl alcohol', 'Dimethylcarbinol', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Chloroform,"['Trichloromethane', 'Methane trichloride', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Hexachloroethane,"['Perchloroethane', 'Carbon hexachloride', 'ENT 1515', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"N,N-Dimethylformamide","['DMF', 'Dimethyl formamide', 'N', 'N-Dimethylmethanamide', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Tris(aziridinyl)-para-benzoquinone (Triaziquone),"['Triaziquone', 'Trenimon', '2', '3', '5-Tris(ethyleneimino)-1', '4-benzoquinone', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Hexamethylphosphoramide,"['HMPA', 'Hexamethylphosphoric triamide', 'Tris(dimethylamino)phosphine oxide', 'Hexamethylphosphoric acid triamide', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"MeA-alpha-C (2-Amino-3-methyl-9H-pyrido[2,3-b]indole)","['2-Amino-3-methyl-9H-pyrido(2', '3-b)indole', '2-Amino-3-methyl-9H-pyrido[2', '3-b]indole', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Shale oils,"['<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
N-Methyl-N-nitrosourea,"['MNU', 'Methylnitrosourea', '1-Methyl-1-nitrosourea', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Coconut oil diethanolamine condensate,"['Cocamide DEA', 'N', 'N-Bis(2-hydroxyethyl) amides', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Jacobine,"['Seneciphylline N-oxide', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Ampicillin,"['Aminobenzylpenicillin', 'Principen', 'Polycillin', 'Penbritin', 'Omnipen', 'Amcill', 'Contramid S', 'D- (-)-alpha-Aminobenzylpenicillin', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
2-Methylimidazole,"['2-MI', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Didanosine,"['ddI', 'Dideoxyinosine', 'Videx', ""2'"", ""3'-Dideoxyinosine"", '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
N-Methyl-N´-nitro-N-nitrosoguanidine (MNNG),"['MNNG', 'NG', ""N-Methyl-N'-nitro-N-nitrosoguanidine"", '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Hexachlorophene,"['Nabac', 'G-11', 'Hexachlorophane', 'Hexachlorofen', 'Septisol', 'pHisoHex', 'Bilevon-R', 'Atgard', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"5,6-Cyclopenteno-1,2-benzanthracene","['<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Benzene,"['Benzol', 'Cyclohexatriene', 'Phenyl hydride', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"1,1,1-Trichloroethane","['Methylchloroform', 'Chlorothene', 'Alpha-trichloroethane', 'Trichloro-1', '1', '1-ethane', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Medroxyprogesterone acetate,"['Provera', 'Depo-Provera', 'MPA', '17-Acetoxy-6-methylprogesterone', '6α-Methyl-17α-hydroxyprogesterone acetate', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"2-Amino-5-(5-nitro-2-furyl)-1,3,4-thiadiazole","['NFT', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
N'-Nitrosoanatabine (NAT),"['<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Endrin,"['Hexachloroepoxyoctahydro-endo', 'endo-dimethanonaphthalene', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Methoxychlor,"['DMDT', '2', '2-Bis(p-methoxyphenyl)-1', '1', '1-trichloroethane', 'Methoxy DDT', 'Marlata', 'Metox', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Trypan blue,"['Direct Blue 14', 'C.I. 23850', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Methylene blue,"['Basic Blue 9', 'Methylthioninium chloride', 'C.I. 52015', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Sulfamethoxazole,"['SMX', 'Gantanol', 'Septra', 'Bactrim', 'Sulfisomezole', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
5-Methylangelicin plus ultraviolet A radiation,"['5-MA', 'Psoralen', 'UVA', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Methyl bromide,"['Bromomethane', 'Embafume', 'Halon 1001', 'Terabol', 'Dowfume MC-2', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Ethylene,"['Ethene', 'Olefiant gas', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Methyl chloride,"['Chloromethane', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Methyl iodide,"['Iodomethane', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Bromoethane,"['Ethyl bromide', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Lead,"['Plumbum', 'Pb', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Mercury and inorganic mercury compounds,"['Quicksilver', 'Hydrargyrum', 'Hg', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"Nickel, metallic","['Ni', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
